# Temperature (C)	Pressure (bar)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
-82.500	3.5747	0.79766	9.3181	10.491	55.411	2763.6	0.00036185	1.1467	1.1637	6.4854	20.316	46.137	569.16	-0.050181	348.07	0.061072	32.000	0.031250	11.391	12.858	67.822	14.524	26.031	135.58	4.3566	15.647	0.0037994
-82.000	3.6509	0.81367	9.4882	10.687	56.303	2759.9	0.00036233	1.1696	1.1869	6.6054	20.291	46.185	567.68	-0.049852	345.84	0.060882	32.635	0.030642	11.393	12.862	67.683	14.549	26.111	135.67	4.3302	15.689	0.0038124
-81.500	3.7284	0.82993	9.6601	10.884	57.201	2756.3	0.00036281	1.1925	1.2102	6.7251	20.267	46.234	566.19	-0.049518	343.62	0.060691	33.279	0.030049	11.395	12.866	67.545	14.575	26.191	135.77	4.3041	15.731	0.0038254
-81.000	3.8070	0.84643	9.8339	11.083	58.106	2752.6	0.00036330	1.2154	1.2335	6.8446	20.242	46.284	564.69	-0.049180	341.41	0.060500	33.933	0.029470	11.398	12.871	67.407	14.601	26.273	135.86	4.2782	15.774	0.0038385
-80.500	3.8868	0.86319	10.010	11.285	59.019	2748.9	0.00036378	1.2383	1.2569	6.9639	20.217	46.335	563.20	-0.048838	339.23	0.060310	34.596	0.028905	11.400	12.875	67.269	14.627	26.355	135.94	4.2525	15.816	0.0038517
-80.000	3.9679	0.88020	10.187	11.489	59.939	2745.2	0.00036427	1.2613	1.2802	7.0830	20.193	46.387	561.70	-0.048491	337.06	0.060119	35.270	0.028353	11.402	12.879	67.133	14.653	26.438	136.03	4.2271	15.859	0.0038649
-79.500	4.0503	0.89747	10.366	11.696	60.866	2741.5	0.00036477	1.2842	1.3036	7.2019	20.169	46.439	560.20	-0.048141	334.90	0.059929	35.952	0.027815	11.404	12.883	66.997	14.679	26.522	136.12	4.2019	15.902	0.0038782
-79.000	4.1338	0.91499	10.547	11.904	61.800	2737.8	0.00036526	1.3072	1.3270	7.3206	20.145	46.493	558.70	-0.047786	332.76	0.059739	36.645	0.027289	11.406	12.887	66.861	14.705	26.608	136.20	4.1769	15.945	0.0038915
-78.500	4.2187	0.93278	10.730	12.115	62.741	2734.0	0.00036576	1.3302	1.3505	7.4392	20.121	46.547	557.20	-0.047427	330.64	0.059548	37.348	0.026775	11.408	12.891	66.727	14.732	26.694	136.29	4.1522	15.988	0.0039049
-78.000	4.3048	0.95084	10.915	12.328	63.690	2730.3	0.00036626	1.3533	1.3740	7.5575	20.097	46.602	555.69	-0.047063	328.53	0.059358	38.061	0.026274	11.410	12.895	66.592	14.758	26.781	136.37	4.1277	16.031	0.0039184
-77.500	4.3923	0.96916	11.102	12.544	64.646	2726.6	0.00036676	1.3763	1.3975	7.6756	20.073	46.657	554.18	-0.046695	326.44	0.059168	38.784	0.025784	11.412	12.898	66.459	14.785	26.869	136.45	4.1034	16.075	0.0039319
-77.000	4.4810	0.98776	11.291	12.762	65.609	2722.8	0.00036727	1.3994	1.4210	7.7936	20.050	46.714	552.67	-0.046323	324.36	0.058978	39.517	0.025305	11.413	12.902	66.326	14.812	26.958	136.54	4.0793	16.118	0.0039455
-76.500	4.5443	undefined	11.417	12.909	66.253	40.000	0.025000	11.417	12.909	66.253	14.817	26.991	136.67	4.0553	16.159	0.0039576	40.000	0.025000	11.417	12.909	66.253	14.817	26.991	136.67	4.0553	16.159	0.0039576
-76.000	4.5582	undefined	11.424	12.921	66.290	40.000	0.025000	11.424	12.921	66.290	14.783	26.919	136.91	4.0315	16.195	0.0039668	40.000	0.025000	11.424	12.921	66.290	14.783	26.919	136.91	4.0315	16.195	0.0039668
